job        : 36162
node       : soeepyc05
started    : 2026-08-10T22:17:46Z
badm dir   : /vol_efthymios/NFS07/dd1136/T_and_C/input_data/ameriflux
output     : /vol_efthymios/NFS07/dd1136/T_and_C/input_data/badm_biomass.csv

BADM root  : /vol_efthymios/NFS07/dd1136/T_and_C/input_data/ameriflux
site list  : 118 stations we model

======================================================================
COVERAGE over 110 station directories
======================================================================
  aboveground    31 / 110 stations   (deciduous 12, evergreen 19)
  root           19 / 110 stations   (deciduous 8, evergreen 11)
  lai            39 / 110 stations   (deciduous 14, evergreen 25)

======================================================================
ABOVEGROUND BIOMASS -- the one that sets B(6)
======================================================================
  station   type       variable                          value  unit
  US-SP3    evergreen  AG_BIOMASS_SHRUB                 114.75  gC m-2
  US-SP3    evergreen  AG_BIOMASS_SHRUB                  133.5  gC m-2
  US-SP3    evergreen  AG_BIOMASS_SHRUB                  18.75  gC m-2
  US-Slt    deciduous  AG_BIOMASS_OTHER                    0.0  gC m-2
  US-Slt    deciduous  AG_BIOMASS_OTHER_SPATIAL_V          0.1  gC m-2
  US-Slt    deciduous  AG_BIOMASS_OTHER                    0.0  gC m-2
  US-Slt    deciduous  AG_BIOMASS_OTHER_SPATIAL_V          0.0  gC m-2
  US-UMB    deciduous  AG_BIOMASS_OTHER                  113.6  gC m-2
  US-UMB    deciduous  AG_BIOMASS_OTHER_SPATIAL_V         23.9  gC m-2
  US-UMB    deciduous  AG_BIOMASS_OTHER_SPATIAL_R           13  gC m-2
  US-UMB    deciduous  AG_BIOMASS_DATE_UNC                  28  gC m-2
  US-UMd    deciduous  AG_BIOMASS_OTHER                 106.54  gC m-2
  US-UMd    deciduous  AG_BIOMASS_OTHER_SPATIAL_V         17.1  gC m-2
  US-UMd    deciduous  AG_BIOMASS_OTHER_SPATIAL_R           12  gC m-2
  US-UMd    deciduous  AG_BIOMASS_DATE_UNC                  20  gC m-2
  US-WCr    deciduous  AG_BIOMASS_OTHER                  10.29  kgDM m-2
  US-WCr    deciduous  AG_BIOMASS_TREE                     0.8  gC m-2
  US-WCr    deciduous  AG_BIOMASS_TREE                     1.2  gC m-2
  US-WCr    deciduous  AG_BIOMASS_TREE                  142.77  gC m-2
  US-Wi3    deciduous  AG_BIOMASS_OTHER                     22  kgDM m-2
  US-Wi4    evergreen  AG_BIOMASS_OTHER                     12  kgDM m-2
  US-Wrc    evergreen  AG_BIOMASS_OTHER                   39.8  kgDM m-2

  distinct units reported: ['gC m-2', 'kgDM m-2']
  -> convert per station, not globally: BADM mixes gC/m2, kgDM/m2 and tDM/ha.

full dump -> /vol_efthymios/NFS07/dd1136/T_and_C/input_data/badm_biomass.csv

finished   : 2026-08-10T22:17:54Z
exit status: 0
