  US_HB3_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  333.5  Rswmax  957.6  band resid max 110.5 W/m2 (2.74% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_HBK_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  335.6  Rswmax  990.5  band resid max 102.6 W/m2 (2.61% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_Ha1_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  339.5  Rswmax  995.0  band resid max 104.6 W/m2 (2.55% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_Ha2_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  339.6  Rswmax  995.0  band resid max 104.7 W/m2 (2.55% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_Ho1_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  334.5  Rswmax  983.9  band resid max 101.4 W/m2 (2.19% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_Ho2_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  334.5  Rswmax  983.9  band resid max 101.5 W/m2 (2.19% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_Ho3_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  334.5  Rswmax  983.9  band resid max 101.2 W/m2 (2.18% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_LPH_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  339.6  Rswmax  995.0  band resid max 104.8 W/m2 (2.55% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_MEF_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  371.4  Rswmax 1074.2  band resid max 129.6 W/m2 (2.07% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_MMS_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  346.3  Rswmax  998.5  band resid max 113.0 W/m2 (2.18% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_MOz_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  355.0  Rswmax 1029.1  band resid max 119.6 W/m2 (2.19% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_MRf_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  352.0  Rswmax 1035.7  band resid max 102.0 W/m2 (1.41% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_Me1_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  351.6  Rswmax 1030.3  band resid max 104.3 W/m2 (1.81% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_Me2_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  354.2  Rswmax 1030.8  band resid max 107.2 W/m2 (1.81% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_Me4_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  352.5  Rswmax 1030.5  band resid max 108.0 W/m2 (1.83% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_Me6_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  353.3  Rswmax 1031.6  band resid max 108.4 W/m2 (1.80% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_Me7_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  354.2  Rswmax 1030.8  band resid max 107.3 W/m2 (1.82% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_MtB_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  387.9  Rswmax 1121.2  band resid max 131.1 W/m2 (2.62% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_NC2_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  324.3  Rswmax  958.2  band resid max 112.6 W/m2 (2.32% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_NC3_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  325.4  Rswmax  958.2  band resid max 112.4 W/m2 (2.34% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_NC5_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  339.1  Rswmax  958.1  band resid max 116.0 W/m2 (2.89% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_NMj_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  321.9  Rswmax  953.2  band resid max 105.4 W/m2 (2.19% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_NR1_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  366.8  Rswmax 1059.0  band resid max 124.4 W/m2 (2.11% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_Oho_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  334.9  Rswmax  972.1  band resid max 111.9 W/m2 (2.39% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_PFL_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  326.5  Rswmax  964.3  band resid max 105.4 W/m2 (2.03% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_PFb_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  326.5  Rswmax  964.1  band resid max 105.4 W/m2 (2.03% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_PFc_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  326.5  Rswmax  964.1  band resid max 105.2 W/m2 (2.05% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_PFg_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  326.5  Rswmax  964.1  band resid max 108.2 W/m2 (2.08% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_PFh_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  326.2  Rswmax  963.6  band resid max 107.9 W/m2 (2.07% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_PFi_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  326.3  Rswmax  963.5  band resid max 107.8 W/m2 (2.06% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_PFj_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  326.3  Rswmax  963.6  band resid max 107.7 W/m2 (2.07% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_PFk_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  326.7  Rswmax  964.4  band resid max 105.8 W/m2 (2.01% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_PFm_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  326.7  Rswmax  964.4  band resid max 105.3 W/m2 (2.03% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_PFn_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  326.6  Rswmax  964.3  band resid max 104.9 W/m2 (2.05% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_PFp_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  326.7  Rswmax  964.3  band resid max 108.2 W/m2 (2.08% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_PFq_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  326.3  Rswmax  963.8  band resid max 108.1 W/m2 (2.08% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_PFs_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  326.4  Rswmax  963.7  band resid max 107.9 W/m2 (2.07% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_PFt_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  326.3  Rswmax  963.8  band resid max 107.9 W/m2 (2.07% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_SB1_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  340.5  Rswmax  978.4  band resid max 117.4 W/m2 (2.28% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_SHC_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  368.9  Rswmax 1081.1  band resid max 119.2 W/m2 (2.08% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_SP1_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  353.4  Rswmax  986.9  band resid max 116.1 W/m2 (2.02% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_SP2_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  353.8  Rswmax  987.6  band resid max 116.5 W/m2 (2.02% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_SP3_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  353.8  Rswmax  987.8  band resid max 118.1 W/m2 (2.03% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_SP4_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  353.7  Rswmax  987.5  band resid max 118.7 W/m2 (2.04% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_SSH_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  332.2  Rswmax  955.9  band resid max 119.2 W/m2 (1.78% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_Slt_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  351.5  Rswmax 1010.1  band resid max 107.0 W/m2 (2.02% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_TEF_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  334.7  Rswmax  984.2  band resid max 112.4 W/m2 (1.88% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_UMB_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  321.0  Rswmax  944.9  band resid max 106.7 W/m2 (2.32% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_UMd_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  321.0  Rswmax  944.9  band resid max 106.5 W/m2 (2.31% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_Vcm_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  382.4  Rswmax 1101.4  band resid max 126.1 W/m2 (2.31% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_Vcp_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  380.4  Rswmax 1101.5  band resid max 127.3 W/m2 (2.32% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_Vcs_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  381.2  Rswmax 1101.3  band resid max 127.3 W/m2 (2.34% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_WBW_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  346.4  Rswmax 1002.3  band resid max 119.6 W/m2 (1.78% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_WCr_GFDL_ESM4_ssp126  753360 h  N 0.00-1.00  PARBmax  326.8  Rswmax  964.5  band resid max 106.1 W/m2 (2.05% of hours > 1; reference US_xRM: 77.2, 3.27%)
