job        : 35712
node       : soeepyc08
started    : 2026-08-09T06:51:29Z
model_run  : /vol_efthymios/NFS07/dd1136/T_and_C/model_run
template   : /vol_efthymios/NFS07/dd1136/T_and_C/T_and_C_dynamic_LMA/T&C/Thanos_US_xRM
meteo      : /vol_efthymios/NFS07/dd1136/T_and_C/input_data/meteo

root      : /vol_efthymios/NFS07/dd1136/T_and_C/model_run
template  : /vol_efthymios/NFS07/dd1136/T_and_C/T_and_C_dynamic_LMA/T&C/Thanos_US_xRM
stations  : 101 (17 excluded)
soil      : 101 sites, 101 profiles
canopy    : 117 (GEDI window median 73, AmeriFlux BADM HEIGHTC 44)
ZR95      : 117   EC heights: 511
meteo dir : /vol_efthymios/NFS07/dd1136/T_and_C/input_data/meteo

==================================================================
READY: 98/101 stations have every input
==================================================================
  ! US-HB2   missing: meteo .mat
  ! US-HB3   missing: meteo .mat
  ! US-Vcm   missing: canopy height

  US-Wi4   written  ms=17 Kbot=NaN ZR95=1000 zatm=23
  US-Wrc   written  ms=17 Kbot=NaN ZR95=1800 zatm=67
  US-xAB   written  ms=16 Kbot=NaN ZR95=1200 zatm=18.9
  US-xBL   written  ms=15 Kbot=NaN ZR95=1100 zatm=8.55
  US-xBR   written  ms=17 Kbot=NaN ZR95=1100 zatm=35.68
  US-xGR   written  ms=14 Kbot=NaN ZR95=1100 zatm=45.89
  US-xHA   written  ms=16 Kbot=NaN ZR95=1100 zatm=39.16
  US-xJE   written  ms=18 Kbot=NaN ZR95=1600 zatm=42.46
  US-xLE   written  ms=18 Kbot=NaN ZR95=1400 zatm=47.13
  US-xML   written  ms=16 Kbot=NaN ZR95=1100 zatm=29.06
  US-xNW   written  ms=14 Kbot=0.01 ZR95=1070 zatm=8.46
  US-xRM   written  ms=15 Kbot=NaN ZR95=1100 zatm=25.35
  US-xRN   written  ms=18 Kbot=NaN ZR95=1200 zatm=39.19
  US-xSB   written  ms=18 Kbot=NaN ZR95=1400 zatm=35.81
  US-xSC   written  ms=16 Kbot=NaN ZR95=1100 zatm=51.88
  US-xSE   written  ms=17 Kbot=NaN ZR95=1100 zatm=61.61
  US-xSP   written  ms=16 Kbot=0.01 ZR95=1680 zatm=52.49
  US-xST   written  ms=18 Kbot=NaN ZR95=1100 zatm=22.36
  US-xTA   written  ms=18 Kbot=NaN ZR95=1200 zatm=35.7
  US-xTE   written  ms=16 Kbot=0.01 ZR95=1520 zatm=59.22
  US-xTR   written  ms=18 Kbot=NaN ZR95=1100 zatm=35.97
  US-xUK   written  ms=13 Kbot=0.01 ZR95=870 zatm=35.77
  US-xWR   written  ms=17 Kbot=NaN ZR95=1800 zatm=74.18
  US-xYE   written  ms=15 Kbot=NaN ZR95=1200 zatm=18.43

manifest : /vol_efthymios/NFS07/dd1136/T_and_C/model_run/build_manifest.json
run list : /vol_efthymios/NFS07/dd1136/T_and_C/model_run/run_list.txt  ->  sbatch --array=1-196 slurm/submit_tc_run.sh

finished   : 2026-08-09T06:52:20Z
exit status: 1  (1 = some station blocked or a substitution failed)
303M	/vol_efthymios/NFS07/dd1136/T_and_C/model_run
