  US_HB3_IPSL_CM6A_LR_historical  306816 h  N 0.00-1.00  PARBmax  295.4  Rswmax  950.7  band resid max 106.0 W/m2 (2.74% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_HBK_IPSL_CM6A_LR_historical  306816 h  N 0.00-1.00  PARBmax  328.8  Rswmax  984.3  band resid max 105.0 W/m2 (2.62% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_Ha1_IPSL_CM6A_LR_historical  306816 h  N 0.00-1.00  PARBmax  329.2  Rswmax  984.2  band resid max 103.0 W/m2 (2.55% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_Ha2_IPSL_CM6A_LR_historical  306816 h  N 0.00-1.00  PARBmax  329.3  Rswmax  984.2  band resid max 103.1 W/m2 (2.55% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_Ho1_IPSL_CM6A_LR_historical  306816 h  N 0.00-1.00  PARBmax  327.3  Rswmax  982.3  band resid max 101.8 W/m2 (2.19% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_Ho2_IPSL_CM6A_LR_historical  306816 h  N 0.00-1.00  PARBmax  327.2  Rswmax  982.3  band resid max 101.9 W/m2 (2.19% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_Ho3_IPSL_CM6A_LR_historical  306816 h  N 0.00-1.00  PARBmax  327.3  Rswmax  982.3  band resid max 101.6 W/m2 (2.18% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_LPH_IPSL_CM6A_LR_historical  306816 h  N 0.00-1.00  PARBmax  329.4  Rswmax  984.2  band resid max 103.2 W/m2 (2.55% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_MEF_IPSL_CM6A_LR_historical  306816 h  N 0.00-1.00  PARBmax  371.7  Rswmax 1081.0  band resid max 131.1 W/m2 (2.07% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_MMS_IPSL_CM6A_LR_historical  306816 h  N 0.00-1.00  PARBmax  338.7  Rswmax  988.4  band resid max 112.2 W/m2 (2.18% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_MOz_IPSL_CM6A_LR_historical  306816 h  N 0.00-1.00  PARBmax  350.9  Rswmax 1013.4  band resid max 116.1 W/m2 (2.19% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_MRf_IPSL_CM6A_LR_historical  306816 h  N 0.00-1.00  PARBmax  352.0  Rswmax 1042.0  band resid max  97.8 W/m2 (1.41% of hours > 1; reference US_xRM: 77.2, 3.27%)
  partition: historical/MPI_ESM1_2_HR -> 1980_2014  (101 file(s))
t_bef/t_aft = 0/1 -- imposed (constructed hourly series)
101 raw file(s) in /vol_efthymios/NFS07/dd1136/T_and_C/input_data/gcm_meteo/historical/MPI_ESM1_2_HR/

  US_Bar_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  331.9  Rswmax  987.2  band resid max 105.6 W/m2 (2.68% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_Blk_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  337.8  Rswmax  987.8  band resid max 112.4 W/m2 (2.28% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_CPF_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  359.8  Rswmax 1047.9  band resid max 124.8 W/m2 (1.96% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_CPk_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  357.0  Rswmax 1041.4  band resid max 117.0 W/m2 (1.83% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_CRK_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  368.4  Rswmax 1048.9  band resid max 122.9 W/m2 (2.55% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_CS2_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  329.2  Rswmax  977.0  band resid max 107.7 W/m2 (2.15% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_CZ2_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  374.1  Rswmax 1081.3  band resid max 122.2 W/m2 (1.97% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_CZ3_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  369.8  Rswmax 1081.7  band resid max 122.0 W/m2 (1.95% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_CZ4_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  368.6  Rswmax 1083.2  band resid max 125.2 W/m2 (1.93% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_ChR_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  347.0  Rswmax  997.4  band resid max 118.4 W/m2 (1.77% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_Cst_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  374.9  Rswmax 1054.9  band resid max 118.7 W/m2 (2.69% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_Cwt_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  346.8  Rswmax  994.9  band resid max 119.0 W/m2 (1.90% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_DPP_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  338.3  Rswmax  974.9  band resid max 114.6 W/m2 (1.91% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_Dk2_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  333.7  Rswmax  967.5  band resid max 112.6 W/m2 (2.85% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_Dk3_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  333.7  Rswmax  967.5  band resid max 115.0 W/m2 (2.87% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_Fmf_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  368.0  Rswmax 1082.2  band resid max 126.9 W/m2 (2.23% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_Fuf_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  367.3  Rswmax 1081.7  band resid max 127.7 W/m2 (2.22% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_GBT_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  357.0  Rswmax 1036.6  band resid max 116.3 W/m2 (1.76% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_GLE_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  357.0  Rswmax 1036.6  band resid max 116.3 W/m2 (1.76% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_HB2_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  333.7  Rswmax  964.9  band resid max 108.3 W/m2 (2.74% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_HB3_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  333.7  Rswmax  964.9  band resid max 108.2 W/m2 (2.74% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_HBK_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  334.1  Rswmax  986.7  band resid max 100.7 W/m2 (2.62% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_Ha1_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  334.3  Rswmax  995.6  band resid max  99.7 W/m2 (2.55% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_Ha2_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  334.4  Rswmax  995.6  band resid max  99.8 W/m2 (2.55% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_Ho1_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  333.2  Rswmax  984.7  band resid max  99.3 W/m2 (2.19% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_Ho2_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  333.2  Rswmax  984.7  band resid max  99.4 W/m2 (2.19% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_Ho3_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  333.2  Rswmax  984.6  band resid max  99.1 W/m2 (2.19% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_LPH_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  334.5  Rswmax  995.6  band resid max  99.9 W/m2 (2.56% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_MEF_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  366.2  Rswmax 1064.2  band resid max 123.8 W/m2 (2.07% of hours > 1; reference US_xRM: 77.2, 3.27%)
