station,af_name,af_igbp,elev_m
US-MKH,Maggie Creek Hay Meadow,GRA,1655.4
US-MKN,Maggie Creek Non-grazed,OSH,1602.6
US-MMS,Morgan Monroe State Forest,DBF,275
US-MN1,"Morris: Corn-Soybean with Cover Crops, Strip Tillage",CRO,339
US-MN2,"Morris: Corn-Soybean-Wheat with Cover Crops, Minimal Tillage",CRO,339
US-MN3,"Morris: Corn-Soybean, Conventional Tillage",CRO,339
US-Mo1,LTAR CMRB Field 1 (CMRB ASP),CRO,260
US-Mo2,LTAR CMRB Tucker Prairie (CMRB TP),GRA,275
US-Mo3,LTAR CMRB Field 3 (CMRB BAU),CRO,261
US-MOz,Missouri Ozark Site,DBF,219.40
US-Mpj,Mountainair Pinyon-Juniper Woodland,WSA,2196
US-MRf,Mary's River (Fir) site,ENF,263
US-MRM,Marsh Resource Meadowlands Mitigation Bank,WET,1
US-MSR,Montana Sun River winter wheat ,CRO,1110
US-MtB,Mt Bigelow,ENF,2573
US-Mur,Murphy's Pond,WET,125
US-MVF,Montana Vaughn Fallow,CRO,1128
US-MVW,Montana Vaughn Wheat,CRO,1134
US-MWA,Jackson Agricultural Field,CRO,290
US-MWF,Kellogg Experimental Forest,MF,256
US-MWS,Michigan State University Campus Site - Spartans,URB,261
US-MWU,Battle Creek Area Mathematics and Science Center,URB,256
US-MWW,Allegan Wetland,WET,209
US-Myb,Mayberry Wetland,WET,-4
US-MZA,"Hidden Marsh, Montezuma NWR",WET,124
US-NC1,NC_Clearcut,ENF,5
US-NC2,NC_Loblolly Plantation,ENF,5
US-NC3,NC_Clearcut#3,ENF,5
US-NC4,NC_AlligatorRiver,WET,1
US-NC5,NC Butner Farm,ENF,122
US-Ne1,Mead - irrigated continuous maize site,CRO,361
US-Ne2,Mead - irrigated maize-soybean rotation site,CRO,362
US-Ne3,Mead - rainfed maize-soybean rotation site,CRO,363
US-NGB,NGEE Arctic Barrow,SNO,5.273
US-NGC,NGEE Arctic Council,GRA,35
US-NMj,Northern Michigan Jack Pine Stand,ENF,394
US-NP1,Business-As-Usual Management (mandanh5),CRO,593
US-NP2,ASPirational Management (mandani2),CRO,590
US-NPR,Neil Smith Prairie,GRA,277
US-NR1,Niwot Ridge Forest (LTER NWT1),ENF,3050
US-NR2,Niwot Ridge Forest (USGS site),ENF,3030
US-NR3,Niwot Ridge Alpine (T-Van West),GRA,3504
US-NR4,Niwot Ridge Alpine (T-Van East),GRA,3502
US-Nrf,Nisqually reference,WET,8
US-Nrs,Nisqually restoring,WET,8
US-NSa,NASA HAQ - SJV East Irrigated Vineyard,CRO,100
US-NSb,NASA HAQ - SJV West Irrigated Cotton,CRO,91
US-NSW,Newman Seasonal Wetlands,GRA,23.5
US-NYa,NYSM - Voorheesville,CRO,115.1
US-NYb,NYSM - Schuylerville,GRA,31.4
US-NYc,NYSM - Whitehall,CRO,36.6
US-NYd,NYSM - Red Hook,CRO,64.8
US-NYe,NYSM - Ontario,CRO,99.9
US-NYf,NYSM - Burt,CRO,96
US-NYg,NYSM - Chazy,CRO,56.6
US-NYh,NYSM - Owego,GRA,447.9
US-NYi,NYSM - Redfield,GRA,380.4
US-NYj,NYSM - Queens,URB,54.6
US-NYk,NYSM - Staten Island,URB,33.1
US-NYl,NYSM - Southold,CRO,8.9
US-NYm,NYSM - Belleville,CRO,144.8
US-NYn,NYSM - Brooklyn,URB,33.2
US-NYo,NYSM - Penn Yan,CRO,250.7
US-NYp,NYSM - Fredonia,CRO,238.8
US-NYq,NYSM - Warsaw,CRO,540.7
US-NYr,NYSM - Claryville,GRA,583.7
US-OF1,Osceola Farm Rice Field - SW,CRO,69.8
US-OF2,Osceola Farm Rice Field - NW,CRO,69.4
US-Oho,Oak Openings,DBF,230
US-OK1,ECB: Site A1 - North Field,CRO,274.93
US-OK2,ECB: Site A3 - South Field,CRO,274.015
US-ONA,Florida pine flatwoods,GRA,25
US-OPE,Optimizing Production Inputs for Economic and Environmental Enhancement (OPE3),CRO,40
US-ORv,Olentangy River Wetland Research Park,WET,221
US-OWC,Old Woman Creek,WET,174.00
US-PAS,"Florida, Paspalum notatum pasture",GRA,27.1
US-PeA,5R Pecan Farm Above Canopy,DBF,1092
US-PFa,Park Falls/WLEF,MF,470.00
US-PFb,NW1 Pine-1 CHEESEHEAD 2019,ENF,474
US-PFc,NW2 Aspen-1 CHEESEHEAD 2019,DBF,473
US-PFd,NW3 Tussock-1 CHEESEHEAD 2019,WET,473
US-PFe,NW4 Lake-1 CHEESEHEAD 2019,WAT,480
US-PFf,NW5 Grass-1 CHEESEHEAD 2019,GRA,464
US-PFg,NE1 Pine-2 CHEESEHEAD 2019,ENF,475
US-PFh,NE2 Pine-3 CHEESEHEAD 2019,ENF,463
US-PFi,NE3 Hardwood-1 CHEESEHEAD 2019,DBF,488
US-PFj,NE4 Maple-1 CHEESEHEAD 2019,DBF,484
US-PFk,SW1 Aspen-2 CHEESEHEAD 2019,DBF,476
US-PFL,SW2 Aspen-3 CHEESEHEAD 2019,DBF,464
US-PFm,SW3 Hardwood-2 CHEESEHEAD 2019,DBF,484
US-PFn,SW4 Hardwood-3 CHEESEHEAD 2019,DBF,478
US-PFo,SE1 Lake-2 CHEESEHEAD 2019,WAT,476
US-PFp,SE2 Hardwood-4 CHEESEHEAD 2019,DBF,497
US-PFq,SE3 Aspen-4 CHEESEHEAD 2019,DBF,473
US-PFr,SE4 Tussock-2 CHEESEHEAD 2019,WET,490
US-PFs,SE5 Aspen-5 CHEESEHEAD 2019,DBF,489
US-PFt,SE6 Pine-4 CHEESEHEAD 2019,ENF,466
US-PHM,Plum Island High Marsh,WET,1.4
US-PiU,Pine Upland,WET,3.04
US-PLM,Plum Island Low Marsh,WET,1
US-PLo,Plum Island Oligohaline Marsh,WET,1.4
US-Pnp,"Lake Mendota, Picnic Point Site",WAT,260
US-Pon,Ponca City,CRO,310
US-Prr,Poker Flat Research Range Black Spruce Forest,ENF,210
US-PSH,USSL San Joaquin Valley Pistachio High,DBF,70
US-PSL,USSL San Joaquin Valley Pistachio Low,DBF,65
US-PVA,PVAMU Research Farm,CRO,86.5
US-Px1,"Phoenix, Maryvale Neighborhood Site",URB,332
US-Px2,"Phoenix, Encanto Golf Course",GRA,331
US-Px3,"Phoenix, Desert botanical garden site",BSV,396
US-Px4,"Phoenix, Encanto Vehicle Lot",URB,331
US-Px5,ASU Polytech Center for Bio-mediated and Bio-inspired Geotechnics (CBBG) Field Lab,URB,404
US-RC1,Cook Agronomy Farm - No Till,CRO,807
US-RC2,Cook Agronomy Farm - Conventional Till,CRO,799
US-RC3,WSU Lind Dryland Research Station,CRO,
US-RC4,Moscow Mountain on-farm site,CRO,817
US-RC5,Moses Lake on-farm site,CRO,349
US-RFE,RockyFlats - East site,GRA,1725
US-RFW,RockyFlats - West site,GRA,1864
US-RGA,Arkansas Corn Farm,CRO,61.00
US-RGB,Butte County Rice Farm,CRO,33.00
US-RGF,Stanislaus County Forage Farm,CRO,16
US-RGG,Glenn County Rice Farm,CRO,36
US-RGo,Glenn County Organic Rice Farm,CRO,40
US-RGR,Arva Ryan's Field,CRO,60
US-RGW,Desha County Rice Farm,CRO,41.00
US-Rls,RCEW Low Sagebrush,CSH,1608
US-Rms,RCEW Mountain Big Sagebrush,CSH,2111
US-Ro1,Rosemount- G21,CRO,290
US-Ro2,Rosemount- C7,CRO,292
US-Ro3,Rosemount- G19,CRO,260
US-Ro4,Rosemount Prairie,GRA,274
US-Ro5,Rosemount I18_South,CRO,283
US-Ro6,Rosemount I18_North,CRO,282
US-Rpf,Poker Flat Research Range: Succession from fire scar to deciduous forest,DBF,497
US-RRC,Rice Rivers Center Marsh,WET,0.1
US-RTS,Toolik Retrogressive Thaw Slump,GRA,890
US-Rwe,RCEW Reynolds Mountain East,CSH,2098
US-Rwf,RCEW Upper Sheep Prescibed Fire,CSH,1878
US-Rws,Reynolds Creek Wyoming big sagebrush,OSH,1425
US-Sag,Sag River,WET,170
US-SB1,Sweet Briar Land-Atmosphere Research Station,ENF,242
US-SB2,Sweet Briar Grass,CRO,240
US-SB3,Sweet Briar Clearcut,ENF,253
US-SBR,Seal Beach National Wildlife Refuge,WET,0
US-SCc,Southern California Climate Gradient - Desert Chaparral,OSH,1280
US-SCd,Southern California Climate Gradient - Sonoran Desert,BSV,275
US-SCf,Southern California Climate Gradient - Oak/Pine Forest,MF,1770
US-SCg,Southern California Climate Gradient - Grassland,GRA,465
US-SCs,Southern California Climate Gradient - Coastal Sage,OSH,470
US-SCw,Southern California Climate Gradient - Pinyon/Juniper Woodland,OSH,1281
US-SD1,Shatto Ditch Paired Cropland - Site 1 (Corn/Soy; No Cover Crops),CRO,
US-SD2,Shatto Ditch Paired Cropland - Site 2 (Corn/Soy; Cover Crops),CRO,
US-SdH,Nebraska SandHills Dry Valley,GRA,1081
US-SDU,South Denver Urban Tower,URB,1618
US-Seg,Sevilleta grassland,GRA,1596
US-Ses,Sevilleta shrubland,OSH,1604
US-SFP,Sioux Falls Portable,CRO,386
US-SHC,Sagehen Creek Field Station,ENF,1934
US-Shd,Shidler- Oklahoma,GRA,346
US-SHS,Secaucus High School Site,WET,1
US-Si1,Staten Island Fallow,CRO,-3.8
US-Si2,Staten Island Flooded,CRO,-3.8
US-SJ1,San Joaquin (Freshwater Marsh Tower 1),WET,3
US-SJ2,San Joaquin (Freshwater Marsh Tower 2),WET,3
US-Skr,Shark River Slough (Tower SRS-6)  Everglades,EBF,0
US-Slt,Silas Little- New Jersey,DBF,30
US-SM1,Texas SmartFarm Project,CRO,897
US-SM2,Texas A&M SMARTFARM Project Site 2,CRO,883.478
US-SM3,Texas A&M SMARTFARM Project Site 3,CRO,883.465
US-Snd,Sherman Island,GRA,-5
US-Sne,Sherman Island Restored Wetland,GRA,-5
US-Snf,Sherman Barn,GRA,-4
US-SO2,Sky Oaks- Old Stand,CSH,1394.00
US-SO3,Sky Oaks- Young Stand,CSH,1429.00
US-SO4,Sky Oaks- New Stand,CSH,1429.00
US-SP1,Slashpine-Austin Cary- 65yrs nat regen,ENF,50
US-SP2,"Slashpine-Mize-clearcut-3yr,regen",ENF,50
US-SP3,Slashpine-Donaldson-mid-rot- 12yrs,ENF,50
US-SP4,Slashpine-Rayonier-mid-rot- 12yrs,ENF,47
US-SRC,Santa Rita Creosote,OSH,950
US-SRG,Santa Rita Grassland,GRA,1291
US-SRM,Santa Rita Mesquite,WSA,1120
US-Srr,Suisun marsh - Rush Ranch,WET,8
US-SRS,Santa Rita Savanna,WSA,1169
US-SSH,Susquehanna Shale Hills Critical Zone Observatory,DBF,310
US-Sta,Saratoga,OSH,2069
US-StJ,St Jones Reserve,WET,6.7
US-StS,Strawberry Swamp,WET,0
US-SuM,Maui Sugarcane Middle,CRO,21
US-SuS,Maui Sugarcane Lee/Sheltered,CRO,203
US-SuW,Maui Sugarcane Windy,CRO,44
US-SVC,Savannah River Control,WSA,94
US-SVP,Savannah River Prescribe Fire,WSA,103
US-Sx1,Santee Experimental Forest Longleaf Pine Clearcut,SAV,12
US-Sx2,Santee Experimental Forest Longleaf Pine Thinned,ENF,9
US-Sx3,Santee Experimental Forest Unmanaged HW-Pine,MF,20
US-Syv,Sylvania Wilderness Area,MF,540.00
US-SZ1,"St. John, WA On-farm site Zone 1",CRO,657
US-SZ2,"St. John, WA On-farm site Zone 2",CRO,664
US-SZ3,"St. John, WA On-farm site Zone 3",CRO,687
US-TaS,Taylor Slough/Panhandle,WET,3
US-TCS,Tall Cypress Swamp,WET,1.2
US-TEF,Tenderfoot Creek Experimental Forest,ENF,2241
US-TFF,Thompson Farm Forest,MF,23.3
US-TKs,Toolik Shrub Tundra,CSH,760
US-TLR,Timberlake Observatory for Wetland Restoration (TOWeR),MF,1
US-Ton,Tonzi Ranch,WSA,177
US-TrB,Trout Bog,WAT,499
US-TrS,Trout Lake Area South Sparkling Bog,WAT,495
US-Tsm,"Port Arthur, TX Salt Marsh",WET,0.8
US-Tur,Turner Ranch,GRA,1530
US-Tw1,Twitchell Wetland West Pond,WET,-5
US-Tw2,Twitchell Corn,CRO,-5
US-Tw3,Twitchell Alfalfa,CRO,-4
US-Tw4,Twitchell East End Wetland,WET,-5
US-Tw5,East Pond Wetland,WET,-5
US-Tw6,Twitchell East End Burn,WET,-5
US-Twt,Twitchell Island,CRO,-7
US-Tx1,Stiles Farm Prairie,GRA,157
US-Tx2,Riesel Farm Native Prairie,GRA,162
US-Tx3,Riesel Farm Aspirational Agriculture,CRO,167
US-Tx4,Riesel Farm Traditional Agriculture,CRO,173
US-Tx5,Texas A&M University Farm,CVM,68
US-Tx6,La Copita Grassland - Savanna,GRA,82
US-Tx7,La Copita Shrubland - Savanna,CSH,82
US-Tx8,Danciger Lowland Hardwood Forest,DBF,16
US-Tx9,Sargent Unit Salt Marsh,WET,0
US-Uaf,"University of Alaska, Fairbanks",ENF,155
US-UC1,LTAR UCB (Upper Chesapeake Bay) EC1,CVM,390
US-UC2,LTAR UCB (Upper Chesapeake Bay) EC2,CVM,396
US-UG1,East River Riparian,OSH,2755
US-UiA,University of Illinois Switchgrass,CRO,224
US-UiB,University of Illinois Miscanthus,CRO,224
US-UiC,University of Illinois Maize-Soy,CRO,224
US-UiD,University of Illinois Restored Native Prairie,GRA,224
US-UiE,University of Illinois Sorghum-Soy,CRO,217
US-UiF,University of Illinois Miscanthus 2,CRO,220
US-UiG,University of Illinois Maize-Soy 2,CRO,220
US-ULM,ULM Flux Tower,DBF,20
US-UM3,Douglas Lake,WAT,234
US-UMB,Univ. of Mich. Biological Station,DBF,234
US-UMd,UMBS Disturbance,DBF,239
US-Upa,Upad,WET,5
US-UR0,Baggs - UCRB,GRA,1899.1
US-UR1,Boulder - UCRB,GRA,2177
US-UR2,Cora - UCRB,GRA,2252.7
US-UR3,Ft. Bridger - UCRB,GRA,2101.1
US-UR4,Gunnison - UCRB,GRA,2464
US-UR5,La Plata - UCRB,CRO,1772
US-UR6,Napi - UCRB,CRO,1770
US-UR7,Olathe - UCRB,GRA,1642.3
US-UR8,Yellow Jacket - UCRB,CRO,2117.5
US-UR9,Farson - UCRB,CRO,2029.9
US-UTB,UFLUX Bonneville Salt Flats,BSV,1287
US-UTD,UFLUX Dugout Ranch,CRO,1580
US-UTE,UFLUX Escalante,CRO,1729.3
US-UTG,UFLUX Green River,CRO,1245.1
US-UTH,Ogden Bay,WAT,1282
US-UTJ,UFLUX Bluff,CRO,1281
US-UTL,UFLUX Pelican Lake,CRO,1486.2
US-UTM,UFLUX Matheson,WET,1207
US-UTN,UFLUX Nephi,CRO,1529
US-UTP,UFLUX Great Salt Lake Phragmites,WET,1281
US-UTV,UFLUX Desert View,CRO,1539
US-UTW,UFLUX Wellington,CRO,1682
US-UTX,Great Salt Lake South Arm,WAT,1280
US-UTY,Great Salt Lake North Arm,WAT,1280
US-UUC,University of Utah Compass Minerals Flux,WAT,1300
US-UUP,University of Utah Playa Flux,BSV,1278
US-Var,Vaira Ranch- Ione,GRA,129
US-Vcm,Valles Caldera Mixed Conifer,ENF,3043
US-Vcp,Valles Caldera Ponderosa Pine,ENF,2501
US-Vcs,Valles Caldera Sulphur Springs Mixed Conifer,ENF,2752
US-VFP,Virginia Coast Reserve Fowling Point,WET,1
US-VT1,Vermillion Tributary Paired Cropland – Site 1 (Corn/Soy; No Cover Crops),CRO,216
US-VT2,Vermillion Tributary Paired Cropland – Site 2 (Corn/Soy; Cover Crops),CRO,216
US-Wb1,Webb Tract Rice,OSH,-7.5
US-Wb2,Webb Tract Wetland,OSH,-7.5
US-WBW,Walker Branch Watershed,DBF,283
US-WCr,Willow Creek,DBF,520.00
US-Wdn,Walden,OSH,2469
US-WEP,West Edge Parking Lot,URB,27
US-Wgr,Willamette Grass,CRO,52
US-Whs,Walnut Gulch Lucky Hills Shrub,OSH,1370
US-Wi0,Young red pine (YRP),ENF,349
US-Wi1,Intermediate hardwood (IHW),DBF,352
US-Wi2,Intermediate red pine (IRP),ENF,395
US-Wi3,Mature hardwood (MHW),DBF,411
US-Wi4,Mature red pine (MRP),ENF,352
US-Wi5,Mixed young jack pine (MYJP),ENF,353
US-Wi6,Pine barrens #1 (PB1),OSH,371
US-Wi7,Red pine clearcut (RPCC),OSH,335
US-Wi8,Young hardwood clearcut (YHW),DBF,348
US-Wi9,Young Jack pine (YJP),ENF,350
US-Wjs,Willard Juniper Savannah,SAV,1931
US-Wkg,Walnut Gulch Kendall Grasslands,GRA,1531
US-Wlr,Walnut River Watershed (Smileyburg),GRA,408
US-Wpp,Willamette Poplar,DBF,111
US-WPT,Winous Point North Marsh,WET,175
US-Wrc,Wind River Crane Site,ENF,371
US-WT1,"Kress, TX no-till cotton and grain sorghum production",CRO,1058
US-WT2,Stratford CSI,GRA,1056
US-WT3,Stratford LICOR,GRA,1071
US-Wwt,Willamette Wheat,CRO,52
US-xAB,NEON Abby Road (ABBY),ENF,363
US-xAE,NEON Klemme Range Research Station (OAES),GRA,516
US-xBA,NEON Barrow Environmental Observatory (BARR),WET,6
US-xBL,NEON Blandy Experimental Farm (BLAN),DBF,183
US-xBN,NEON Caribou Creek - Poker Flats Watershed (BONA),ENF,263
US-xBR,NEON Bartlett Experimental Forest (BART),DBF,232
US-xCL,NEON LBJ National Grassland (CLBJ),GRA,259
US-xCP,NEON Central Plains Experimental Range (CPER),GRA,1654
US-xDC,NEON Dakota Coteau Field School (DCFS),GRA,559
US-xDJ,NEON Delta Junction (DEJU),ENF,529
US-xDL,NEON Dead Lake (DELA),MF,22
US-xDS,NEON Disney Wilderness Preserve (DSNY),CVM,15
US-xGR,"NEON Great Smoky Mountains National Park, Twin Creeks (GRSM)",DBF,579
US-xHA,NEON Harvard Forest (HARV),DBF,351
US-xHE,NEON Healy (HEAL),OSH,705
US-xJE,NEON Jones Ecological Research Center (JERC),ENF,44
US-xJR,NEON Jornada LTER (JORN),OSH,1329
US-xKA,NEON Konza Prairie Biological Station - Relocatable (KONA),GRA,1329
US-xKZ,NEON Konza Prairie Biological Station (KONZ),GRA,381
US-xLE,NEON Lenoir Landing (LENO),DBF,20
US-xMB,NEON Moab (MOAB),OSH,1767
US-xML,NEON Mountain Lake Biological Station (MLBS),DBF,1126
US-xNG,NEON Northern Great Plains Research Laboratory (NOGP),GRA,578
US-xNQ,NEON Onaqui-Ault (ONAQ),OSH,1685
US-xNW,NEON Niwot Ridge Mountain Research Station (NIWO),ENF,3513
US-xPU,NEON Pu'u Maka'ala Natural Area Reserve (PUUM),EBF,1685
US-xRM,"NEON Rocky Mountain National Park, CASTNET (RMNP)",ENF,2743
US-xRN,NEON Oak Ridge National Lab (ORNL),DBF,334
US-xSB,NEON Ordway-Swisher Biological Station (OSBS),ENF,45
US-xSC,NEON Smithsonian Conservation Biology Institute (SCBI),DBF,361
US-xSE,NEON Smithsonian Environmental Research Center (SERC),DBF,15
US-xSJ,NEON San Joaquin Experimental Range (SJER),SAV,368
US-xSL,"NEON North Sterling, CO (STER)",CRO,1364
US-xSP,NEON Soaproot Saddle (SOAP),ENF,1160
US-xSR,NEON Santa Rita Experimental Range (SRER),OSH,983
US-xST,NEON Steigerwaldt Land Services (STEI),DBF,481
US-xTA,NEON Talladega National Forest (TALL),ENF,135
US-xTE,NEON Lower Teakettle (TEAK),ENF,2147
US-xTL,NEON Toolik (TOOL),WET,843
US-xTR,NEON Treehaven (TREE),DBF,472
US-xUK,NEON The University of Kansas Field Station (UKFS),DBF,335
US-xUN,NEON University of Notre Dame Environmental Research Center (UNDE),MF,518
US-xWD,NEON Woodworth (WOOD),GRA,579
US-xWR,NEON Wind River Experimental Forest (WREF),ENF,407
US-xYE,NEON Yellowstone Northern Range (Frog Rock) (YELL),ENF,2116
US-YK1,"Yukon-Kuskokwim Delta, Izaviknek-Kingaglia uplands, Burned 2015",WET,15
US-YK2,"Yukon-Kuskokwim Delta, Izaviknek-Kingaglia uplands, Unburned",WET,15
US-Ylw,Yellow Cab urban,URB,14
US-YNS,North Star Yedoma,GRA,186.9
US-ZF1,Zumwalt Farm Treatment,CRO,202
US-ZF2,Zumwalt Farm Control,CRO,202
