station,af_name,af_igbp,elev_m
CA-Qc2,Quebec - 1975 Harvested Black Spruce (HBS75),MF,
CA-Qcu,"Quebec - Eastern Boreal, Black Spruce/Jack Pine Cutover",ENF,392.3
CA-Qfo,"Quebec - Eastern Boreal, Mature Black Spruce",ENF,382
CA-RBM,Richmond Brackish Marsh,WET,
CA-RPn,Robinsons_Natural_Bog_NL,OSH,150
CA-RPp,Robinsons_Peatland_Pasture_NL,OSH,162
CA-RSB,Resolute Bay Polar Desert,BSV,119
CA-SCB,Scotty Creek Bog,WET,280
CA-SCC,Scotty Creek Landscape,ENF,285
CA-SF1,"Saskatchewan - Western Boreal, forest burned in 1977",ENF,536
CA-SF2,"Saskatchewan - Western Boreal, forest burned in 1989",ENF,520
CA-SF3,"Saskatchewan - Western Boreal, forest burned in 1998",OSH,540
CA-SJ1,"Saskatchewan - Western Boreal, Jack Pine forest harvested in 1994",ENF,580
CA-SJ2,"Saskatchewan - Western Boreal, Jack Pine forest harvested in 2002",ENF,580
CA-SJ3,"Saskatchewan - Western Boreal, Jack Pine forest harvested in 1975 (BOREAS Young Jack Pine)",ENF,
CA-SMC,Smith Creek,ENF,150
CA-ST1,South Tobacco Creek - Field 1,CRO,448
CA-ST2,South Tobacco Creek - Field 2,CRO,447
CA-TP1,Ontario - Turkey Point 2002 Plantation White Pine,ENF,265
CA-TP2,Ontario - Turkey Point 1989 Plantation White Pine,ENF,212
CA-TP3,Ontario - Turkey Point 1974 Plantation White Pine,ENF,184
CA-TP4,Ontario - Turkey Point 1939 Plantation White Pine,ENF,184
CA-TPA,Ontario Turkey Point Observatory Agricultural Site,CRO,200
CA-TPD,Ontario - Turkey Point Mature Deciduous,DBF,260
CA-TVC,Trail Valley Creek,OSH,85
CA-WP1,"Alberta - Western Peatland - LaBiche River,Black Spruce/Larch Fen",WET,540
CA-WP2,Alberta - Western Peatland - Poor Fen (Sphagnum moss),WET,
CA-WP3,Alberta - Western Peatland - Rich Fen  (Carex),WET,
CA-WRF,White River Fen,WET,485
CL-ACF,Alerce Costero Forest,ENF,822
CL-FJS,Fray Jorge Shrubland,OSH,541
CL-OPP,Omora Park Peatland,WET,27
CL-SDF,Senda Darwin Forest,EBF,50
CL-SDP,Senda Darwin Peatland,WET,50
CO-GV1,Guatavita Station 1,WET,3001
CO-GV2,Guatavita Station 2,WET,3002
CR-Dos,La Selva T2,EBF,40
CR-Fsc,Filadelfia sugar cane cropland,CRO,18
CR-Lse,La Selva,EBF,100
CR-Nmr,Nicoya melon-rice cropland,CRO,166
CR-SoC,Soltis Center,EBF,538
MX-Aog,Alamos Old-Growth tropical dry forest,DBF,367.284
MX-Asf,Alamos Mid-Secondary tropical dry forest,DBF,384
MX-BRN,Bernal,OSH,2050
MX-CHB,Churi-Buffelgrass savanna,SAV,398
MX-CHN,Natural subtropical semi-arid shrubland,CSH,450
MX-CLS,"Coastal Lagoon, Gulf of California",WAT,0
MX-EMg,El Mogor,CSH,409
MX-Iit,Instituto de Ingenieria y Tecnologia - UACJ,URB,1123
MX-ISD,San Isidro,OSH,1702
MX-Lpa,La Paz,OSH,21
MX-Oak,"Encino, North American monsoon oak savanna",WSA,1314
MX-PMm,Puerto Morelos mangrove,WET,10
MX-Ray,"Rayon, monsoon subtropical shrubland",WSA,632
MX-Sgt,Sonoran short arid Mangrove,WET,0
MX-Tes,"Tesopaco, secondary tropical dry forest",DBF,460
MX-VQS,Vaquerías,GRA,2231
PA-Bar,Barro Colorado Island,EBF,150
PA-Bas,Barro Colorado Island,EBF,150
PE-AMG,Los Amigos,EBF,290
PE-BRE,El Breo,EBF,755
PE-IGP,Observatorio Geofísico de Huancayo del Instituto Geofísico del Perú,GRA,3336
PE-PAN,Panguana,EBF,220
PE-QFR,Quistococha Forest Reserve,WET,104
PE-TNR,Tambopata,MF,214
PR-xGU,NEON Guanica Forest (GUAN),EBF,143
PR-xLA,NEON Lajas Experimental Station (LAJA),GRA,24
US-A03,ARM-AMF3-Oliktok,BSV,5
US-A10,ARM-NSA-Barrow,BSV,4
US-A12,ARM-SGP-Pawhuska,CVM,331
US-A14,ARM-SGP-Lamont,CVM,315
US-A20,ARM-BNF-Courtland,CRO,178
US-A30,ARM-BNF-Falkville,CRO,183
US-A31,ARM-SGP-Anthony,GRA,412.1
US-A32,ARM-SGP Medford hay pasture,GRA,335
US-A33,ARM-SGP-Newkirk,CVM,357
US-A37,ARM-SGP-Waukomis,CVM,378.9
US-A38,ARM-SGP-Omega,CVM,371.2
US-A39,ARM-SGP-Morrison,CRO,306
US-A40,ARM-BNF-Double Springs,CRO,236
US-A41,ARM-SGP-Peckham,CVM,340
US-A74,ARM SGP milo field,CRO,337
US-AaG,Arkansas Grassland,GRA,33
US-ABa,Archbold grazed seminative pasture,GRA,8.407258
US-ABb,Archbold ungrazed seminative pasture,GRA,8.251645
US-ABc,Archbold grazed improved pasture,GRA,9.34224
US-ABd,Archbold ungrazed improved pasture,GRA,10.66159
US-ABe,Archbold Ungrazed Wetland,WET,9.05302
US-ABf,Archbold BIR Ranch Improved Pasture,GRA,14.7
US-AC2,ARM-CRG-Rural,CRO,158
US-AC3,ARM-CRG-Bay,WAT,3
US-AC5,ARM-CRG-UrbanNW,URB,64
US-AC6,ARM-CRG-UrbanSE,URB,67
US-Act,Acton Lake Flux Tower Site,WAT,263
US-ADR,Amargosa Desert Research Site (ADRS),BSV,842
US-AF1,MPG - Apricot Lane Farms,CVM,300
US-Akn,Savannah River Site,MF,93
US-ALQ,Allequash Creek Site,WET,
US-AMS,Argonne Testbed for Multiscale Observational Science (ATMOS),GRA,232
US-An1,Anaktuvuk River Severe Burn,OSH,600
US-An2,Anaktuvuk River Moderate Burn,OSH,600
US-An3,Anaktuvuk River Unburned,OSH,600
US-AoL,Low Density Apple Orchard,MF,270.4
US-AR1,ARM USDA UNL OSU Woodward Switchgrass 1,GRA,611
US-AR2,ARM USDA UNL OSU Woodward Switchgrass 2,GRA,646
US-ARb,ARM Southern Great Plains burn site- Lamont,GRA,424
US-ARc,ARM Southern Great Plains control site- Lamont,GRA,424
US-ARM,ARM Southern Great Plains site- Lamont,CRO,314
US-ASH,USSL San Joaquin Valley Almond High Salinity,DBF,147
US-ASL,USSL San Joaquin Valley Almond Low Salinity,DBF,78
US-ASM,USSL San Joaquin Valley Almond Medium Salinity,DBF,147
US-Atq,Atqasuk,WET,15.00
US-Aud,Audubon Research Ranch,GRA,1469
US-AV1,Arva AV1,CRO,60
US-AV2,Arva AV2,CRO,60
US-AV3,Arva AV3,CRO,60
US-AV4,Arva AV4,CRO,59
US-AV5,Arva AV5,CRO,60
US-Bar,Bartlett Experimental Forest,DBF,272
US-BCM,Blue Cypress Marsh,WET,23
US-Bd4,Burdette Farm Rice Field - 4N,CRO,70
US-Bd5,Burdette Farm Rice Field - Seagraves South,CRO,70
US-Bd6,Burdette Farm Rice - Seagraves North,CRO,70
US-BdA,Burdette Farm Rice Field - AWD,CRO,
US-BdC,Burdette Farm Rice Field - conventional,CRO,
US-Beo,Barrow Environmental Observatory (BEO) tower,WET,
US-Bes,Barrow-Bes (Biocomplexity Experiment South tower),WET,4.60
US-BFS,Robert J. Bernard Biological Field Station,OSH,410
US-BgC,Big Chico Creek,WSA,135
US-Bi1,Bouldin Island Alfalfa,CRO,-2.7
US-Bi2,Bouldin Island corn,CRO,-5
US-Bkg,Brookings,GRA,510
US-Blk,Black Hills,ENF,1718
US-Blo,Blodgett Forest,ENF,1315
US-BMM,Bangtail Mountain Meadow,GRA,2324
US-Bn1,"Bonanza Creek, 1920 Burn site near Delta Junction",ENF,518
US-Bn2,"Bonanza Creek, 1987 Burn site near Delta Junction",DBF,410
US-Bn3,"Bonanza Creek, 1999 Burn site near Delta Junction",OSH,469
US-BNF,ARM Bankhead National Forest Site,MF,284
US-Bo1,Bondville,CRO,219
US-Bo2,Bondville (companion site),CRO,219
US-BQT,Barrow Aquatic Tundra,WET,4.767417431
US-Br1,Brooks Field Site 10- Ames,CRO,313
US-Br2,Brooks Field Site 1011- Ames,CRO,314
US-Br3,Brooks Field Site 11- Ames,CRO,313
US-BRG,Bayles Road Grassland Tower,GRA,180
US-Brw,Barrow,WET,1.00
US-Bsg,Burns Sagebrush,OSH,1398
US-BSM,Barnstable Great Marsh,WET,0.5
US-BTL,Goldstream Valley Thermokarst Lake,WET,188
US-BWa,INFLUX - NIST Turfgrass Site,URB,
US-BWb,INFLUX - Montgomery County pasture site,GRA,
US-BWe,Clifton Park Turfgrass,GRA,44
US-BZB,Bonanza Creek Thermokarst Bog,WET,100
US-BZF,Bonanza Creek Rich Fen,WET,95
US-BZo,Bonanza Creek Old Thermokarst Bog,WET,100
US-BZS,Bonanza Creek Black Spruce,ENF,100
US-CAK,Council Alaska Tundra,GRA,35
US-CaV,Canaan Valley,GRA,994
US-CC1,Coloma Corn 1,CRO,314
US-CC2,Coloma Corn 2,CRO,320
US-CdM,Cedar Mesa,WSA,1860
US-Ced,Cedar Bridge,CSH,58
US-CF1,CAF-LTAR Cook East,CRO,794
US-CF2,CAF-LTAR Cook West,CRO,807
US-CF3,CAF-LTAR Boyd North,CRO,795
US-CF4,CAF-LTAR Boyd South,CRO,795
US-CGG,Concord Grazed Grassland,GRA,119.5
US-ChR,Chestnut Ridge,DBF,286
US-CLF,Cole Farm,CVM,244
US-CLN,Coles Farm North,CRO,368.1
US-CLS,Coles Farm South,CRO,354
US-Cms,Central Marsh,WET,6
US-CMW,Charleston Mesquite Woodland,DBF,1199
US-CN1,Coleman Cattle Farm,GRA,309
US-CN2,Parrot Farm,GRA,309
US-Cop,Corral Pocket,GRA,1520
US-CPF,Cameron Peak,ENF,3100
US-CPk,Chimney Park,ENF,2750
US-CRE,Clark Rice East,CRO,77
US-CRK,Davy Crockett National Forest,ENF,151
US-CRT,Curtice Walter-Berger cropland,CRO,180
US-CRW,Clark Rice West,CRO,77
US-CS1,Central Sands Irrigated Agricultural Field,CRO,328
US-CS2,Tri county school Pine Forest,ENF,328
US-CS3,Central Sands Irrigated Agricultural Field,CRO,328
US-CS4,Central Sands Irrigated Agricultural Field,CRO,328
US-CS5,Central Sands Irrigated Agricultural Field,CRO,328
US-CS6,Central Sands Irrigated Agricultural Field,CRO,328
US-CS7,Central Sands Forest,ENF,328
US-CS8,Central Sands Irrigated Agricultural Field,CRO,328
US-Cst,Crossett Experimental Forest,ENF,50
US-Ctn,Cottonwood,GRA,744
US-CU1,UIC Plant Research Laboratory Chicago,URB,183.4
US-CU2,CSU Williams Science Center,URB,176
US-CU3,Bernard Brommel Hall,URB,195
US-CU4,Argonne Testbed for Multiscale Observational Science (ATMOS),OSH,228
US-CwG,Coweeta Grassland,GRA,657
US-Cwt,Coweeta,DBF,690
US-CX1,"Central Plains Experimental Range 1, Nunn, Colorado",GRA,1600
US-CX2,"Central Plains Experimental Range 2, Nunn, Colorado",GRA,1600
US-CZ1,"Sierra Critical Zone, Sierra Transect, Oak/Pine Woodland, San Joaquin Experimental Range",SAV,400
US-CZ2,"Sierra Critical Zone, Sierra Transect, Ponderosa Pine Forest, Soaproot Saddle",ENF,1160
US-CZ3,"Sierra Critical Zone, Sierra Transect, Sierran Mixed Conifer, P301",ENF,2015
US-CZ4,"Sierra Critical Zone, Sierra Transect, Subalpine Forest, Shorthair",ENF,2710
US-DBk,Berkeley Way West,URB,
US-DCS,Dwarf Cypress Swamp,WET,2.05
US-Dea,California UC ANR Desert Research and Extension Center Alfalfa,CRO,-53
US-Deu,California UC ANR Desert Research and Extension Center Urban Farm Tower,URB,-53
US-DFC,"US Dairy Forage Research Center, Prairie du Sac",CRO,264.9
US-DFK,Dairy Forage Research Center - Kernza,CRO,210
US-Dia,Diablo,GRA,323
US-Dix,Fort Dix,MF,48
US-Dk1,Duke Forest-open field,GRA,168
US-Dk2,Duke Forest-hardwoods,DBF,168
US-Dk3,Duke Forest - loblolly pine,ENF,163
US-Dmg,Dutch Slough Marsh Gilbert Tract,WET,1
US-DPP,Disney Wilderness Preserve Pine Flatwoods,ENF,23
US-DPW,Disney Wilderness Preserve Wetland,WET,23
US-DS1,Staten Corn 1,CRO,-6
US-DS2,Staten Corn 2,CRO,-6
US-DS3,Staten Rice 1,CRO,-7
US-DUF,Denver Urban Field Station,URB,1527
US-E32,ARM-SGP-Medford,CVM,328
US-EA4,EAA Field Research Park Woodland,MF,297
US-EA5,Uvalde Ranch Mesquite Woodland,CSH,322
US-EA6,Camp Wood Shield Ranch Oak Savannah,WSA,480
US-EDN,Eden Landing Ecological Reserve,WET,
US-EKH,Elkhorn Slough Hester Marsh,WET,0.5
US-EKN,Elkhorn Slough North Marsh,WET,0
US-EKP,Elkhorn Slough Porter Marsh,WET,0
US-EKY,Elkhorn Slough Yampah Marsh,WET,0
US-Elm,Everglades (long hydroperiod marsh),WET,0.77
US-EML,"Eight Mile Lake Permafrost thaw gradient, Healy Alaska.",OSH,662
US-EPM,Edwards Plateau Martin,SAV,
US-Esm,Everglades (short hydroperiod marsh),WET,1.07
US-EvM,Everglades Saltwater intrusion marsh,WET,0.332
US-FBE,Bob Allen Key LTER East,WAT,0
US-Fcr,Cascaden Ridge Fire Scar,OSH,265
US-Fmf,Flagstaff - Managed Forest,ENF,2160
US-Fo1,Flux Observations of Carbon from an Airborne Laboratory (FOCAL) Campaign Site 1,WET,28.00
US-Fo2,Flux Observations of Carbon from an Airborne Laboratory (FOCAL) Campaign Site 2,WET,41
US-FPe,Fort Peck,GRA,634
US-FR1,Freeman Ranch- Grassland,GRA,230
US-FR2,Freeman Ranch- Mesquite Juniper,WSA,271.9
US-FR3,Freeman Ranch- Woodland,CSH,232
US-Fuf,Flagstaff - Unmanaged Forest,ENF,2180
US-Fwf,Flagstaff - Wildfire,GRA,2270
US-GBT,GLEES Brooklyn Tower,ENF,3191
US-GCE,Georgia Coastal Ecosystems LTER Flux Tower,WET,0.625
US-GL1,Stannard Rock,WAT,183
US-GL2,Granite Island,WAT,183
US-GLE,GLEES,ENF,3197
US-GMF,Great Mountain Forest,MF,380
US-Goo,Goodwin Creek,GRA,87
US-GR8,Greenfield Rice Northeast 18,CRO,75
US-GR9,Greenfield Rice Northwest 19,CRO,75
US-GZ1,"Genesee, ID On-farm site Zone 1",CRO,746
US-GZ2,"Genesee, ID On-farm site Zone 2",CRO,731
US-GZ3,"Genesee, ID On-farm site Zone 3",CRO,713
US-Ha1,Harvard Forest EMS Tower (HFR1),DBF,340
US-Ha2,Harvard Forest Hemlock Site,ENF,360
US-Ha3,Harvard Forest Beaver Swamp,WET,340
US-HB1,North Inlet Crab Haul Creek,WET,0.1
US-HB2,Hobcaw Barony Mature Longleaf Pine,ENF,4.7
US-HB3,Hobcaw Barony Longleaf Pine Restoration,ENF,7.3
US-HB4,Minim Creek Brackish Impoundment,WET,1
US-HB5,Francis Marion National Forest Longleaf Pine Restoration,ENF,5.9
US-HB6,Loblolly rotation - well drained soils,ENF,15
US-HB7,Hobcaw Barony Ghost Forest,WET,5
US-HBa,Climate Smart 1: Afforestation,CRO,17.9
US-HBb,Climate-Smart 2: Afforestation,CRO,48
US-HBK,Hubbard Brook Experimental Forest,DBF,367
US-Hn1,Hanford 300 Area,OSH,118.58
US-Hn2,Hanford 100H grassland,GRA,117.5
US-Hn3,Hanford 100H sagebrush,OSH,120.9
US-Ho1,Howland Forest (main tower),ENF,60
US-Ho2,Howland Forest (west tower),ENF,61
US-Ho3,Howland Forest (harvest site),ENF,61
US-HPY,Hawk Property,WET,1
US-HRA,Humnoke Farm Rice Field – Field A,CRO,
US-HRC,Humnoke Farm Rice Field – Field C,CRO,
US-HRN,Humnoke Carr North Rice Field,CRO,61
US-HRo,Herring River Old County,WET,0.406
US-HRP,Herring River Phragmites,WET,0.5
US-HRS,Humnoke Carr South Rice Field,CRO,61
US-Hsm,Hill Slough Marsh,WET,1.113
US-HVa,Happy Valley,WET,298
US-HVs,Happy Valley Wet Sedge Tundra,WET,320
US-HWB,USDA ARS Pasture Sytems and Watershed Management Research Unit- Hawbecker Site,CVM,378
US-IAA,Iowa State University NW tower,CRO,307.7
US-IAB,Iowa State University NE tower,CRO,314.4
US-IAC,Iowa State University SE tower,CRO,315
US-IAM,Iowa State University Miscanthus,CRO,314
US-IB1,Fermi National Accelerator Laboratory- Batavia (Agricultural site),CRO,226.5
US-IB2,Fermi National Accelerator Laboratory- Batavia (Prairie site),GRA,226.5
US-ICh,Imnavait Creek Watershed Heath Tundra,OSH,940
US-ICs,Imnavait Creek Watershed Wet Sedge Tundra,WET,920
US-ICt,Imnavait Creek Watershed Tussock Tundra,OSH,930
US-INa,INFLUX - Cemetery Turfgrass Tower,URB,
US-INb,INFLUX - Golf Course,URB,
US-INc,INFLUX - Downtown Indianapolis (Site-3),URB,
US-INd,INFLUX - Agricultural Site East near Pittsboro,CRO,
US-INe,INFLUX - Agricultural Site West near Pittsboro,CRO,
US-INf,INFLUX - East 21st St (Site 2),URB,
US-INg,INFLUX - Wayne Twp Comm (Site-7),URB,
US-INi,INFLUX - Agricultural Site East of Indianapolis (Site-9a),CRO,
US-INj,INFLUX - Agricultural Site East of Indianapolis (Site-9b),CRO,
US-INn,INFLUX - Agricultural Site West of Indianapolis (Site-14a),CRO,
US-INp,INFLUX - Agricultural Site West of Indianapolis (Site-14b) ,CRO,
US-IS1,Illinois SmartFarm - Pesotum Eddy Covariance Site,CRO,202.73
US-IS2,Illinois SmartFarm - Villa Grove Eddy Covariance Site,CRO,198.19
US-IS3,Illinois SmartFarm - Bondville Eddy Covariance Site,CRO,220
US-Ivo,Ivotuk,WET,568.00
US-JFM,"Mitchell Creek: Jackson Demonstration State Forest, Intermediate Second-Growth Redwood",ENF,280
US-JFP,"South Parlin: Jackson Demonstration State Forest, Young Second-Growth Redwood",ENF,121
US-JLN,Jackson Lane - natural,WET,17
US-JLR,Jackson Lane - restored,WET,17
US-Jo1,Jornada Experimental Range Bajada Site,OSH,1188
US-Jo2,Jornada Experimental Range Mixed Shrubland,OSH,1469
US-Jo3,Jornada Experimental Range Red Lake Playa,BSV,
US-JRn,WV Jacks Run,GRA,384.048
US-Jxg,Jornada Experimental Range Historic Grassland,OSH,1331
US-Jxn,Jornada Experimental Range Novel Grassy Shrubland,OSH,1324
US-Jxs,Jornada Experimental Range Shrubland,OSH,1328
US-KCM,KCMP Tall Tower,CRO,290
US-KEY,ARPAE-SMARTFARM-OK-Sorghum,CRO,1138
US-KFB,Konza Prairie LTER (4B),GRA,330
US-KFS,Kansas Field Station,GRA,310
US-KGF,Kingman Farm,GRA,35
US-KL1,KBS Lux Arbor Reserve Corn,CRO,264.6
US-KL2,KBS Lux Arbor Reserve Switchgrass,GRA,258.3
US-KL3,KBS Lux Arbor Reserve Prairie,GRA,264.7
US-KLS,Kansas Land Institute,GRA,373
US-KM1,KBS Marshall Farms Corn,CRO,258.1
US-KM2,KBS Marshall Farms Prairie,GRA,259.1
